Nombre de secondes;Coût;T°Moyenne;T°Extérieure
1;2916.0;9.8;0.0
2;5832.0;11.6;0.0
3;8748.0;12.7;0.0
4;11664.0;13.3;0.0
5;12517.8;8.8;1.0
6;13372.3;9.0;4.0
7;14229.7;8.8;4.0
8;15090.4;9.0;4.0
9;15996.0;9.2;6.0
10;16947.2;10.2;7.0
11;17973.2;11.2;9.0
12;19033.0;12.0;9.0
13;20120.4;12.5;11.0
14;21263.0;13.2;12.0
15;22470.1;13.9;13.0
16;23699.9;14.3;13.0
17;26615.9;17.8;11.0
18;29531.9;18.7;12.0
19;32447.9;18.5;9.0
20;35363.9;18.7;10.0
21;38279.9;18.6;9.0
22;41195.9;18.1;7.0
23;44111.9;17.8;7.0
24;47027.9;17.7;7.0
25;49943.9;17.6;7.0
26;52859.9;17.1;5.0
27;55775.9;16.6;4.0
28;58691.9;16.4;4.0
29;61607.9;16.2;4.0
30;64523.9;15.7;2.0
